node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
48676,4,TSPA,100,200,23028,GreedyCycle2Regret_w1_1_start96,71704,GreedyCycle2Regret_w1_1
48478,4,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start97,71933,GreedyCycle2Regret_w1_1
49339,4,TSPA,100,200,23434,GreedyCycle2Regret_w1_1_start98,72773,GreedyCycle2Regret_w1_1
49147,4,TSPA,100,200,23520,GreedyCycle2Regret_w1_1_start99,72667,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start100,71750,GreedyCycle2Regret_w1_1
48478,4,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start101,71933,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start102,71523,GreedyCycle2Regret_w1_1
48362,4,TSPA,100,200,23235,GreedyCycle2Regret_w1_1_start103,71597,GreedyCycle2Regret_w1_1
49182,3,TSPA,100,200,23928,GreedyCycle2Regret_w1_1_start104,73110,GreedyCycle2Regret_w1_1
48849,4,TSPA,100,200,23604,GreedyCycle2Regret_w1_1_start105,72453,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start106,71523,GreedyCycle2Regret_w1_1
49426,4,TSPA,100,200,23519,GreedyCycle2Regret_w1_1_start107,72945,GreedyCycle2Regret_w1_1
48837,3,TSPA,100,200,23381,GreedyCycle2Regret_w1_1_start108,72218,GreedyCycle2Regret_w1_1
48668,4,TSPA,100,200,23436,GreedyCycle2Regret_w1_1_start109,72104,GreedyCycle2Regret_w1_1
48974,4,TSPA,100,200,23584,GreedyCycle2Regret_w1_1_start110,72558,GreedyCycle2Regret_w1_1
49286,4,TSPA,100,200,23241,GreedyCycle2Regret_w1_1_start111,72527,GreedyCycle2Regret_w1_1
48022,3,TSPA,100,200,23938,GreedyCycle2Regret_w1_1_start112,71960,GreedyCycle2Regret_w1_1
48183,4,TSPA,100,200,23795,GreedyCycle2Regret_w1_1_start113,71978,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23112,GreedyCycle2Regret_w1_1_start114,71682,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start115,71947,GreedyCycle2Regret_w1_1
48369,3,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start116,71947,GreedyCycle2Regret_w1_1
48127,4,TSPA,100,200,22981,GreedyCycle2Regret_w1_1_start117,71108,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23637,GreedyCycle2Regret_w1_1_start118,72006,GreedyCycle2Regret_w1_1
48459,4,TSPA,100,200,23013,GreedyCycle2Regret_w1_1_start119,71472,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23529,GreedyCycle2Regret_w1_1_start120,71855,GreedyCycle2Regret_w1_1
48570,3,TSPA,100,200,23297,GreedyCycle2Regret_w1_1_start121,71867,GreedyCycle2Regret_w1_1
49132,3,TSPA,100,200,23444,GreedyCycle2Regret_w1_1_start122,72576,GreedyCycle2Regret_w1_1
48484,4,TSPA,100,200,23745,GreedyCycle2Regret_w1_1_start123,72229,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23291,GreedyCycle2Regret_w1_1_start124,71861,GreedyCycle2Regret_w1_1
49884,4,TSPA,100,200,22940,GreedyCycle2Regret_w1_1_start125,72824,GreedyCycle2Regret_w1_1
49029,4,TSPA,100,200,23391,GreedyCycle2Regret_w1_1_start126,72420,GreedyCycle2Regret_w1_1
48584,3,TSPA,100,200,23609,GreedyCycle2Regret_w1_1_start127,72193,GreedyCycle2Regret_w1_1
48859,3,TSPA,100,200,23458,GreedyCycle2Regret_w1_1_start128,72317,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23378,GreedyCycle2Regret_w1_1_start129,71704,GreedyCycle2Regret_w1_1
49473,4,TSPA,100,200,24245,GreedyCycle2Regret_w1_1_start130,73718,GreedyCycle2Regret_w1_1
48484,4,TSPA,100,200,23509,GreedyCycle2Regret_w1_1_start131,71993,GreedyCycle2Regret_w1_1
49187,4,TSPA,100,200,23434,GreedyCycle2Regret_w1_1_start132,72621,GreedyCycle2Regret_w1_1
48621,4,TSPA,100,200,23615,GreedyCycle2Regret_w1_1_start133,72236,GreedyCycle2Regret_w1_1
49747,4,TSPA,100,200,23531,GreedyCycle2Regret_w1_1_start134,73278,GreedyCycle2Regret_w1_1
48570,3,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start135,71750,GreedyCycle2Regret_w1_1
48577,4,TSPA,100,200,23896,GreedyCycle2Regret_w1_1_start136,72473,GreedyCycle2Regret_w1_1
48777,4,TSPA,100,200,24281,GreedyCycle2Regret_w1_1_start137,73058,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start138,71523,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start139,71947,GreedyCycle2Regret_w1_1
48422,4,TSPA,100,200,23286,GreedyCycle2Regret_w1_1_start140,71708,GreedyCycle2Regret_w1_1
49398,3,TSPA,100,200,23290,GreedyCycle2Regret_w1_1_start141,72688,GreedyCycle2Regret_w1_1
49337,4,TSPA,100,200,23572,GreedyCycle2Regret_w1_1_start142,72909,GreedyCycle2Regret_w1_1
48127,4,TSPA,100,200,22981,GreedyCycle2Regret_w1_1_start143,71108,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start144,71523,GreedyCycle2Regret_w1_1
